"Código","Nombre científico oficial"
"Cynele","Cynosurus elegans"
"Cynger","Cynoglossum germanicum"
"Cynoff","Cynoglossum officinale"
"Cypcar","Cyprinus carpio"
"Cypera","Cyperus eragrostis"
"Cypfus","Cyperus fuscus"
"Cyplon","Cyperus longus"
"Cyprot","Cyperus rotundus"
"Cyrpha","Cyrtanaspis phalerata"
"Cysdic","Cystopteris dickieana"
"Cysfra","Cystopteris fragilis"
"Cysfr2","Cystoperis fragilis subsp. fragilis"
"Cysfr3","Cystopteris fragilis subsp. huteri"
"Cytbal","Cytisus balansae subsp. europaeus"
"Cytdec","Cytisus decumbens"
"Cythyp","Cytinus hypocistis"
"Cythy2","Cytinus hypocistis subsp. macranthus"
"Cytsco","Cytisus scoparius subsp. scoparius"
"Cytsc2","Cytisus scoparius subsp. cantabricus"
"Cytstr","Cytisus striatus"
"Dabcan","Daboecia cantabrica"
"Dacbip","Dacne bipustulata"
"Dacela","Dactylorhiza elata"
"Dacel2","Dactylorhiza elata subsp. sesquipedalis"
"Daceri","Dactylorhiza ericetorum"
"Dacglo","Dactylis glomerata"
"Dachis","Dactylis hispanica"
"Dacinc","Dactylorhiza incarnata subsp. incarnata"
"Dacins","Dactylorhiza insularis"
"Dacmac","Dactylorhiza maculata"
"Dacmaj","Dactylorhiza majalis subsp. majalis"
"Dacmar","Dactylorhiza markusii"
"Dacma2","Dactylorhiza maculata subsp. elodes"
"Dacma3","Dactylorhiza maculata subsp. maculata"
"Dacpru","Dacrila pruinosa"
"Dacsam","Dactylorhiza sambucina"
"Dalmar","Dalopius marginatus"
"Dandec","Danthonia decumbens"
"Danpal","Danacea pallipes"
"Dapgni","Daphne gnidium"
"Daplau","Daphne laureola"
"Dasaer","Dasytes aeratus"
"Dascae","Dasytes caeruleus"
"Daspau","Dasytes pauperculus"
"Dasplu","Dasytes plumbeus"
"Dassub","Dasytes subaeneus"
"Dasvir","Dasytes virens"
"Datstr","Datura stramonium"
"Daucar","Daucus carota"
"Decalb","Decticus albifrons"
"Decver","Decticus verrucivorus"
"Deifug","Deilus fugax"
"Deipor","Deilephila porcellus"
"Delhal","Delphinium halteratum"
"Delurb","Delichon urbica"
"Denlin","Denticollis linearis"
"Denmaj","Dendrocopos major"
"Denmin","Dendrocopos minor"
"Denpin","Dendrolimus pini"
"Denpun","Dendrophilus punctatus"
"Denqua","Dendroxena quadrimaculata"
"Denrub","Denticollis rubens"
"Derfai","Deronectes fairmairei"
"Dermac","Dermestes maculatus"
"Dermoe","Deronectes moestus"
"Deropa","Deronectes opatrinus"
"Dersar","Dermestes sardous"
"Derspp","Dero spp."
"Derund","Dermestes undulatus"
"Desces","Deschampsia cespitosa"
"Desfle","Deschampsia flexuosa"
"Deshis","Deschampsia hispanica"
"Desrig","Desmazeria rigida"
"Dessop","Descurainia sophia"
"Detspl","Dethawia splendens"
"Detsp2","Dethawia splendens subsp. cantabrica"
"Diaarm","Dianthus armeria subsp. armeria"
"Diabar","Dianthus barbatus subsp. Barbatus"
"Diabol","Diaperis boleti"
"Diabro","Dianthus broteri"
"Diacar","Dianthus carthusianorum subsp. carthusianorum"
"Diachr","Diachrysia chrysitis"
"Diadel","Dianthus deltoides subsp. deltoides"
"Diadis","Dialycera distincticornis"
"Diagua","Diarsia guadarramensis"
"Diahys","Dianthus hyssopifolius"
"Dialar","Dianthus laricifolius subsp. laricifolius"
"Dialus","Dianthus lusitanus"
"Diamen","Diaphora mendica"
"Diapun","Dianthus pungens"
"Diapu2","Dianthus pungens subsp. brachyanthus"
"Diapu3","Dianthus pungens subsp. hispanicus"
"Diapu4","Dianthus pungens subsp. pungens"
"Diapu5","Dianthus pungens subsp. ruscinonensis"
"Diasan","Diacrisia sannio"
"Dicapr","Dichonia aprilina"
"Dicber","Dicerca berolinensis"
"Diccan","Dichagyris candelisequa"
"Diccra","Dicranum crassifolium"
"Dicequ","Dicronychus equiseti"
"Dicfas","Dicallomera fascelina"
"Dicfla","Dichodontium flavescens"
"Dichet","Dicranella heteromalla"
"Dichow","Dicranella howei"
"Dicpal","Dichodontium palustre"
"Dicpel","Dichodontium pellucidum"
"Dicrub","Dicronychus rubripes"
"Dicsco","Dicranum scoparium"
"Dicspp","Dicranota spp."
"Dictau","Dicranum tauricum"
"Dictes","Dicladispa testacea"
"Dicvar","Dicranella varia"
"Didacu","Didymodon acutus"
"Didcor","Didymodon cordatus"
"Didfal","Didymodon fallax"
"Didgem","Didymosphenia geminata"
"Didins","Didymodon insulanus"
"Didlur","Didymodon luridus"
"Didnic","Didymodon nicholsonii"
"Didrig","Didymodon rigidulus"
"Didsin","Didymodon sinuosus"
"Didspa","Didymodon spadiceus"
"Didtop","Didymodon tophaceus"
"Didvin","Didymodon vinealis"
"Digobs","Digitalis obscura"
"Digpar","Digitalis parviflora"
"Digpur","Digitalis purpurea subsp. purpurea"
"Digsan","Digitaria sanguinalis"
"Dilcae","Diloba caeruleocephala"
"Dimatr","Dimetrota atramentaria"
"Dimdim","Dima dima"
"Dincep","Dinocras cephalotes"
"Dincol","Dinoptera collaris"
"Diomen","Dioryctia mendacella"
"Dipalb","Diplophyllum albicans"
"Diperu","Diplotaxis erucoides subsp. erucoides"
"Dipfag","Diplocoelus fagi"
"Dipfol","Diphyscium foliosum"
"Dipful","Dipsacus fullonum"
"Dipser","Dipcadi serotinum"
"Diptax","Diplophyllum taxifolium"
"Dipvir","Diplotaxis virgata subsp. virgata"
"Discap","Distichium capillaceum"
"Disjea","Discoglossus jeanneae"
"Disniv","Dissoleucas niveirostris"
"Ditfle","Ditrichum flexicaule"
"Ditgra","Ditrichum gracile"
"Ditvis","Dittrichia viscosa"
"Diufag","Diurnea fagella"
"Docgen","Dociostaurus genei"
"Dolcon","Dolicharthria concoloralis"
"Dolich","Dolichopodidae"
"Donaqu","Donacia aquatica"
"Doncin","Donacia cinerea"
"Dorcar","Doronicum carpetanum"
"Dorchr","Dorcatoma chrysomelina"
"Dordia","Doronicum diazii"
"Dorfla","Dorcatoma flavicornis"
"Dorhir","Dorycnium hirsutum"
"Dormin","Dorcatoma minor"
"Dorpal","Dorcus parallelipipedus"
"Dorpar","Doronicum pardalianches"
"Dorpen","Dorycnium pentaphyllum subsp. pentaphyllum"
"Dorpla","Doronicum plantagineum"
"Dorrec","Dorycnium rectum"
"Draaiz","Draba aizoides subsp. aizoides"
"Drabim","Drasterius bimaculatus"
"Draded","Draba dedeana"
"Dralap","Drassodes lapidosus"
"Dramur","Draba muralis"
"Drapra","Drasyllus praeficus"
"Dreadu","Drepanocladus aduncus"
"Drepol","Dreissena polymorpha"
"Droagi","Dromius agilis"
"Drorot","Drosera rotundifolia"
"Drucan","Drusilla canaliculata"
"Dryaff","Dryopteris affinis"
"Dryaf2","Dryopteris affinis subsp. affinis"
"Dryaf3","Dryopteris affinis var. borreri"
"Dryaf4","Dryopteris affinis var. robusta"
"Dryaf5","Dryopteris affinis subsp. cambrensis"
"Dryamb","Dryopteris x ambroseae"
"Drycab","Dryobotodes carbonis"
"Drycar","Dryopteris carthusiana"
"Drycer","Dryobotodes cerris"
"Dryden","Drypta dentata"
"Drydil","Dryopteris dilatata"
"Dryere","Dryobotodes eremita"
"Dryexp","Dryopteris expansa"
"Dryfil","Dryopteris filix-mas"
"Drylab","Dryobota labecula"
"Drylur","Dryops luridus"
"Dryman","Dryopteris x mantoniae"
"Drymon","Dryobotodes monochroma"
"Dryore","Dryopteris oreades"
"Drypus","Dryophilus pusillus"
"Dryque","Drymonia querna"
"Dryruf","Drymonia ruficornis"
"Drysub","Dryopteris submontana"
"Dryvil","Dryocoetes villosus"
"Dupbre","Dupophilus brevis"
"Dysglo","Dyschiriodes globosus"
"Dyspun","Dysausex punctata"
"Dysulu","Dyspessa ulula"
"Dytpis","Dytiscus pisanus"
"Eancan","Eana canescana"
"Ecbela","Ecballium elaterium subsp. elaterium"
"Ecdfor","Ecdyonurus forcipula/angelieri"
"Ecdlat","Ecdyonurus lateralis"
"Ecdspp","Ecdyonurus spp."
"Echasp","Echium asperrinum"
"Echcap","Echinaria capitata"
"Echcru","Echinochloa crus-galli"
"Echhor","Echinospartum horridum"
"Echrit","Echinops ritro"
"Echspp","Echinogammarus spp."
"Echvul","Echium vulgare"
"Ectcre","Ectropis crepuscularia"
"Egicon","Egira conscipillaris"
"Egralb","Egretta alba"
"Egrgar","Egretta garzetta"
"Eilcan","Eilema caniola"
"Eillur","Eilema lurideola"
"Eillut","Eilema lutarella"
"Eilpal","Eilema paliatella"
"Eilpse","Eilema pseudocomplana iberica"
"Eilpyg","Eilema pygmaeola"
"Eilsor","Eilema sororcula"
"Eiluni","Eilema uniola"
"Elaang","Elaeagnus angustifolia"
"Elacae","Elanus caeruleus"
"Elader","Elateroides dermestoides"
"Elapyr","Elaphrus pyrenoeus"
"Elepal","Eleocharis palustris"
"Elequi","Eleocharis quinqueflora"
"Elique","Eliomys quercinus"
"Elmaen","Elmis aenea"
"Elmmau","Elmis maugetii"
"Elmrio","Elmis rioloides"
"Elmspp","Elmis spp."
"Eloqui","Elona quimperiana"
"Elycan","Elymus caninus"
"Elyhis","Elymus hispidus"
"Elypun","Elymus pungens"
"Elypu2","Elymus pungens subsp. campestris"
"Elyrep","Elymus repens subsp. repens"
"Emaato","Ematurga atomaria"
"Embcal","Emberiza calandra"
"Embcia","Emberiza cia"
"Embcir","Emberiza cirlus"
"Embcit","Emberiza citrinella"
"Embhor","Emberiza hortulana"
"Embsch","Emberiza schoeniclus"
"Emyorb","Emys orbicularis"
"Enacya","Enallagma cyathigerum"
"Enccil","Encalypta ciliata"
"Encmin","Enconista miniosaria"
"Encstr","Encalypta streptocarpa"
"Encvul","Encalypta vulgaris"
"Endcas","Endressia castellana"
"Endfla","Endotricha flammealis"
"Endmar","Endophloeus marcovichianus"
"Enesep","Enedreytes sepicola"
"Enibre","Enicmus brevicornis"
"Enical","Enicopus calcaratus"
"Enihis","Enicmus histrio"
"Eniibe","Enicopus ibericus"
"Enirug","Enicmus rugosus"
"Enites","Enicmus testaceus"
"Ennaln","Ennomos alniaria"
"Enncor","Ennearthron cornutum"
"Ennero","Ennomos erosaria"
"Ennfus","Ennomos fuscantaria"
"Ennque","Ennomos quercaria"
"Ennqui","Ennomos quercinaria"
"Enofus","Enochrus fuscipennis"
"Enoova","Enoplognatha ovata"
"Entado","Entomoscelis adonidis"
"Entcae","Entephria caeruleata"
"Entcon","Entosthodon convexus"
"Entmuh","Entosthodon muhlenbergii"
"Entpul","Entosthodon pulchellus"
"Epespp","Epeous spp."
"Epetor","Epeorus torrentium/sylvicola"
"Ephcun","Ephippiger cunii"
"Ephdan","Ephemera danica"
"Ephdis","Ephedra distachya subsp. distachya"
"Epheph","Ephippiger ephippiger morales-agacinoi"
"Ephfra","Ephedra fragilis subsp. fragilis"
"Ephneb","Ephedra nebrodensis subsp. nebrodensis"
"Ephvir","Ephoron virgo"
"Ephwel","Ephestia welseriella"
"Epials","Epilobium alsinifolium"
"Epialt","Epirrhoe alternata"
"Epiang","Epilobium angustifolium"
"Epiaph","Epipogium aphyllum"
"Epiatr","Epipactis atrorubens"
"Epiaut","Epirrita autommata"
"Epichr","Epirrita christyi"
"Epicol","Epilobium collinum"
"Epidil","Epirrita dilutata"
"Epidur","Epilobium duriaei"
"Epigal","Epirrhoe galiata"
"Epigla","Episema glaucina"
"Epihel","Epipactis helleborine"
"Epihip","Episernus hispanus"
"Epihir","Epilobium hirsutum"
"Epihis","Epipactis hispanica"
"Epilan","Epilobium lanceolatum"
"Epilin","Epilecta linogrisea"
"Epimic","Epipactis microphylla"
"Epimon","Epilobium montanum"
"Epiobs","Epilobium obscurum"
"Epipaa","Epipactis parviflora"
"Epipae","Epilobium palustre"
"Epipai","Epipactis palustris"
"Epipau","Epilobium parviflorum"
"Epiphy","Epipactis phyllanthes"
"Epiph2","Epipactis phyllanthes var. fageticola"
"Epiriv","Epirrhoe rivata"
"Epirub","Epinotia rubiginosana"
"Epitet","Epilobium tetragonum subsp. Tetragonum"
"Epitre","Epipactis tremolsii"
"Epivil","Epicallia villica"
"Eptser","Eptesicus serotinus / Eptesicus isabellinus"
"Epumar","Epuraea marseuli"
"Eputer","Epuraea terminalis"
"Equarv","Equisetum arvense"
"Equflu","Equisetum fluviatile"
"Equhye","Equisetum hyemale"
"Equlit","Equisetum x litorale"
"Equmoo","Equisetum x moorei"
"Equpal","Equisetum palustre"
"Equram","Equisetum ramosissimum"
"Equtel","Equisetum telmateia"
"Eradef","Erannis defoliaria"
"Eramin","Eragrostis minor"
"Erealp","Eremophila alpestris"
"Erecin","Eresus cinnaberinus"
"Ereepi","Erebia epiphron"
"Erelef","Erebia lefebvrei demandensis"
"Eremeo","Erebia meolans"
"Eretri","Erebia triarius"
"Ergalp","Erigeron alpinus"
"Ergfab","Ergates faber"
"Eriace","Erigeron acer subsp. acer"
"Eriant","Erinacea anthyllis"
"Eriarb","Erica arborea"
"Eriaus","Erica australis"
"Ericat","Eriogaster catax"
"Ericin","Erica cinerea"
"Erieur","Erinaceus europaeus"
"Erilat","Eriophorum latifolium"
"Eririm","Eriogaster rimicola"
"Erirub","Erithacus rubecula"
"Erisco","Erica scoparia subsp. scoparia"
"Eritet","Erica tetralix"
"Erivag","Erica vagans"
"Ernalp","Erinus alpinus"
"Ernfag","Ernoporicus fagi"
"Ernmol","Ernobius mollis"
"Ernnig","Ernobius nigrinus"
"Ernpin","Ernobius pini"
"Erobot","Erodium botrys"
"Erocar","Erodium carvifolium"
"Erocas","Erodium castellanum"
"Erocio","Erodium ciconium"
"Erociu","Erodium cicutarium"
"Erodau","Erodium daucoides"
"Erogla","Erodium glandulosum"
"Eromal","Erodium malacoides"
"Eromos","Erodium moschatum"
"Erover","Erophila verna"
"Erpobd","Erpobdellidae"
"Erunas","Erucastrum nasturtiifolium"
"Eruna2","Erucastrum nasturtiifolium subsp. nasturtiifolium"
"Eruna3","Erucastrum nasturtiifolium subsp. sudrei"
"Eruves","Eruca vesicaria"
"Erybou","Eryngium bourgatii"
"Erycam","Eryngium campestre"
"Eryche","Erysimum cheiri"
"Eryden","Erythronium dens-canis"
"Erygor","Erysimum gorbeanum"
"Eryinc","Erysimum incanum subsp. mairei"
"Erylin","Erythromma lindenii"
"Erymed","Erysimum mediohispanicum"
"Erytag","Erynnis tages"
"Eryvir","Erythromma viridulum"
"Esccal","Eschscholzia californica"
"Esoang","Esolus angustatus"
"Esoluc","Esox lucius"
"Esopar","Esolus parallelepipedus"
"Esopyg","Esolus pygmaeus"
"Esospp","Esolus spp."
"Ethpus","Ethmia pusiella"
"Etopub","Etorofus pubescens"
"Eubpur","Eublemma purpurina"
"Euccan","Eucosma cana"
"Euccap","Eucnemis capucina"
"Euccra","Euchloe crameri"
"Eucgly","Euclidia glyphica"
"Eucmi","Euclidia mi"
"Eucpul","Euchrothippus pulvinatus"
"Euctag","Euchloe tagis"
"Eucver","Eucladium verticillatum"
"Euddel","Eudonia delunella"
"Eugocu","Euglenes oculatus"
"Eugpyg","Euglenes pygmaeus"
"Euoeur","Euonymus europaeus"
"Eupabb","Eupithecia abbreviata"
"Eupabs","Eupithecia absinthiata"
"Eupamy","Euphorbia amygdaloides subsp. amygdaloides"
"Eupang","Euphorbia angulata"
"Eupaur","Euphydryas aurinia"
"Eupbia","Euphyia biangulata"
"Eupbre","Eupithecia breviculata"
"Eupcan","Eupatorium cannabinum subsp. cannabinum"
"Eupcen","Eupithecia centaureata"
"Eupcha","Euphorbia characias subsp. characias"
"Eupchr","Euproctis chrysorrhoea"
"Eupcoc","Eupithecia cocciferata"
"Eupdes","Euphydryas desfontainii"
"Eupdis","Eupithecia distinctaria"
"Eupesu","Euphorbia esula"
"Eupexi","Euphorbia exigua"
"Eupfal","Euphorbia falcata"
"Eupfla","Euphorbia flavicoma"
"Eupfru","Euphyia frustata"
"Euphel","Euphorbia helioscopia"
"Euphip","Eupogonocherus hispidus"
"Euphis","Euphorbia hirsuta"
"Euphit","Euphrasia hirtella"
"Euphyb","Euphorbia hyberna subsp. hyberna"
"Eupict","Eupithecia icterata"
"Eupind","Eupithecia indigata"
"Eupinn","Eupithecia innotata"
"Eupluc","Euplexia lucipara"
"Eupmii","Euphrasia minima"
"Eupmil","Eupithecia millefoliata"
"Eupmin","Euphorbia minuta"
"Eupnan","Eupithecia nanata"
"Eupnic","Euphorbia nicaeensis"
"Euporp","Eupithecia orphnata"
"Euppec","Euphrasia pectinata"
"Euppep","Euphorbia peplus"
"Euppim","Eupithecia pimpinellata"
"Euppul","Eupithecia pulchellata"
"Euppus","Eupithecia pusillata"
"Eupqua","Euplagia quadripunctaria"
"Eupsco","Eupithecia scopariata"
"Eupseg","Euphorbia segetalis"
"Eupsen","Eupithecia senorita"
"Eupser","Euphorbia serrata"
"Eupstr","Euphrasia stricta"
"Eupsub","Eupithecia subfuscata"
"Eupsul","Euphorbia sulcata"
"Euptra","Eupsilia transversa"
"Eupven","Eupithecia venosata"
"Eupvir","Eupithecia virgaureata"
"Eupvul","Eupithecia vulgata"
"Eurmic","Eurythyrea micans"
"Eurpul","Eurhynchiastrum pulchellum"
"Eursin","Euryusa sinuata"
"Eurstr","Eurhynchium striatum"
"Eusatr","Eusphalerum atrum"
"Eushis","Eusphalerum hispanicum"
"Eusmon","Eusphalerum montivagum"
"Eusmul","Euserica mulsanti"
"Eusrob","Eusphalerum robustum"
"Eustor","Eusphalerum torquatum"
"Euxnig","Euxoa nigricans"
"Euxobe","Euxoa obelisca"
"Euxtem","Euxoa temera"
"Euzsex","Euzonitis sexmaculata"
"Evaarc","Evarcha arcuata"
"Evacar","Evax carpetana"
"Evafal","Evarcha falcata"
"Evapyg","Evax pygmaea"
"Exapus","Exaculum pusillum"
"Exoads","Exocentrus adspersus"
"Exolus","Exosoma lusitanicum"
"Fabpus","Fabronia pusilla"
"Fagesc","Fagopyrum esculentum"
"Fagsyl","Fagus sylvatica"
"Falbal","Fallopia baldschuanica"
"Falche","Falco cherrug"
"Falcol","Falco columbarius"
"Falcon","Fallopia convolvulus"
"Faldum","Fallopia dumetorum"
"Falele","Falco eleonorae"
"Falnau","Falco naumanni"
"Falper","Falco peregrinus"
"Falsub","Falco subbuteo"
"Faltho","Falagriusa thoracica"
"Faltin","Falco tinnunculus"
"Falves","Falco vespertinus"
"Favque","Favonius quercus"
"Felsil","Felis silvestris"
"Fercom","Ferula communis"
"Fesalt","Festuca altissima"
"Fesamp","Festuca ampla"
"Fesaru","Festuca arundinacea"
"Fesar2","Festuca arundinacea subsp. fenas"
"Fescf.","Festuca cf. Gracilior"
"Fesgau","Festuca gautieri"
"Feshet","Festuca heterophylla"
"Feshe2","Festuca heterophylla subsp. Braun-blanquetii"
"Feshys","Festuca hystrix"
"Fesibe","Festuca iberica"
"Fesind","Festuca indigesta subsp. aragonensis"
"Fesnig","Festuca nigrescens microphylla"
"Fesovi","Festuca ovina var glauca"
"Fespan","Festuca paniculata subsp. spadicea"
"Fespra","Festuca pratensis"
"Fesriv","Festuca rivularis"
"Fesrub","Festuca rubra subsp. rubra"
"Fichyp","Ficedula hypoleuca"
"Filpyr","Filago pyramidata"
"Filuli","Filaginella uliginosa"
"Filulm","Filipendula ulmaria subsp. ulmaria"
"Filvul","Filipendula vulgaris"
"Fisadi","Fissidens adianthoides"
"Fisbry","Fissidens bryoides var. bryoides"
"Fisbr2","Fissidens bryoides var. caespitans"
"Fiscra","Fissidens crassipes"
"Fisdub","Fissidens dubius"
"Fisgra","Fissidens grandifrons"
"Fisosm","Fissidens osmundoides"
"Fisriv","Fissidens rivularis"
"Fistax","Fissidens taxifolius"
"Fisvir","Fissidens viridulus"
"Foevul","Foeniculum vulgare"
"Fonant","Fontinalis antipyretica"
"Fonhyp","Fontinalis hypnoides"
"Fonsqu","Fontinalis squamosa"
"Fosang","Fossombronia angulosa"
"Foscae","Fossombronia caespitiformis"
"Fospus","Fossombronia pusilla"
"Fraaln","Frangula alnus"
"Fraang","Fraxinus angustifolia"
"Fraan2","Fraxinus angustifolia subsp. oxycarpa"
"Fraexc","Fraxinus excelsior subsp. excelsior"
"Frapul","Frankenia pulverulenta"
"Fraves","Fragaria vesca"
"Fricoe","Fringilla coelebs"
"Frilus","Fritillaria lusitanica"
"Frimon","Fringilla montifringilla"
"Friner","Fritillaria nervosa subsp. nervosa"
"Fripyr","Fritillaria pyrenaica"
"Frofut","Frontinellina futetorum"
"Frudil","Frullania dilatata"
"Frufra","Frullania fragilifolia"
"Frutam","Frullania tamarisci"
"Fulatr","Fulica atra"
"Fumcap","Fumaria capreolata"
"Fumeri","Fumana ericifolia"
"Fumero","Fumana ericoides"
"Fummur","Fumaria muralis"
"Fumoff","Fumaria officinalis"
"Fumof2","Fumaria officinalis subsp. officinalis"
"Fumof3","Fumaria officinalis subsp. wirtgenii"
"Fumpar","Fumaria parviflora"
"Fumpro","Fumana procumbens"
"Fumreu","Fumaria reuteri"
"Fumthy","Fumana thymifolia"
"Fumvai","Fumaria vaillantii"
"Funhyg","Funaria hygrometrica"
"Furbif","Furcula bifida"
"Gabnig","Gabrius nigritulus"
"Gabspl","Gabrius splendidulus"
"Gabvel","Gabrius velox"
"Gagarv","Gagea arvensis"
"Gagfol","Gagea foliosa"
"Gagfra","Gagea fragifera"
"Gaglut","Gagea lutea"
"Gagnev","Gagea nevadensis"
"Gagne2","Gagea nevadensis gr."
"Gagpra","Gagea pratensis"
"Galalb","Galium album subsp. album"
"Galang","Galeopsis angustifolia"
"Galans","Galeruca angusta"
"Galan2","Galeopsis angustifolia subsp. carpetana"
"Galapa","Galium aparine"
"Galart","Galeruca artemisiae"
"Galcal","Galerucella calmariensis"
"Galchl","Gallinula chloropus"
"Galcor","Galium corrudifolium"
"Galcri","Galerida cristata"
"Galdiv","Galium divaricatum"
"Galfru","Galium fruticescens"
"Galgal","Gallinago gallinago"
"Gallin","Galerucella lineola"
"Galluc","Galium lucidum"
"Galmol","Galium mollugo"
"Galmur","Galium murale"
"Galodo","Galium odoratum"
"Galoff","Galega officinalis"
"Galpal","Galium palustre"
"Galpap","Galium papillosum"
"Galpar","Galium parisiense"
"Galpin","Galium pinetorum"
"Galpyr","Galemys pyrenaicus"
"Galrot","Galium rotundifolium"
"Galsax","Galium saxatile"
"Galspu","Galium spurium"
"Galtan","Galeruca tanaceti"
"Galtet","Galeopsis tetrahit"
"Galthe","Galerida theklae"
"Galtom","Galactites tomentosa"
"Galtri","Galium tricornutum"
"Galuli","Galium uliginosum"
"Galver","Galium verticillatum"
"Galve2","Galium verum subsp. verum"
"Gamhol","Gambusia holbrooki"
"Gargla","Garrulus glandarius"
"Gasimm","Gastrallus immarginatus"
"Gaspol","Gastrophysa polygoni"
"Gaspub","Gastrallus pubens"
"Gasque","Gastropacha quercifolia"
"Gasven","Gastridium ventricosum"
"Gaufra","Gaudinia fragilis"
"Gauful","Gauropterus fulgidus"
"Gavime","Gavia immer"
"Gavste","Gavia stellata"
"Gegnos","Gegenes nostrodamus"
"Gelnil","Gelochelidon nilotica"
"Genang","Genista anglica"
"Gencin","Genista cinerea subsp. cinerea"
"Genci2","Genista cinerea subsp. ausetana"
"Gencru","Gentiana cruciata"
"Genflo","Genista florida subsp. polygaliphylla"
"Gengen","Genetta genetta"
"Genhis","Genista hispanica subsp. occidentalis"
"Genlut","Gentiana lutea subsp. lutea"
"Genmic","Genista micrantha"
"Genobt","Genista obtusiramea"
"Genocc","Gentiana occidentalis"
"Genpil","Genista pilosa"
"Gensag","Genista sagittalis"
"Gensco","Genista scorpius"
"Gentin","Genista tinctoria"
"Genver","Gentiana verna subsp. verna"
"Geoibe","Geotrupes ibericus"
"Geomut","Geotrupes mutator"
"Geonum","Geostiba numantiensis"
"Geopap","Geometra papilionaria"
"Geospi","Geotrupes spiniger"
"Geoste","Geotrupes stercorarius"
"Gercol","Geranium columbinum"
"Gerdis","Geranium dissectum"
"Gergib","Gerris gibbifer"
"Gerluc","Geranium lucidum"
"Germol","Geranium molle"
"Gerpha","Geranium phaeum"
"Gerpur","Geranium purpureum"
"Gerpyr","Geranium pyrenaicum"
"Gerrob","Geranium robertianum"
"Gerrot","Geranium rotundifolium"
"Gersan","Geranium sanguineum"
"Gersyl","Geranium sylvaticum"
"Getang","Gentiana angustifolia subsp. occidentalis"
"Geuhis","Geum hispidum"
"Geumon","Geum montanum"
"Geuriv","Geum rivale"
"Geusyl","Geum sylvaticum"
"Geuurb","Geum urbanum"
"Gibbit","Gibbaranea bituberculata"
"Glaalc","Glaucopsyche alcon"
"Glaale","Glaucopsyche alexis"
"Glacor","Glaucium corniculatum"
"Glaill","Gladiolus illyricus"
"Glamel","Glaucopsyche melanops"
"Glapra","Glareola pratincola"
"Glehed","Glechoma hederacea"
"Gletri","Gleditsia triacanthos"
"Gligli","Glis glis / Myoxus glis"
"Gliqua","Glischrochilus quadripunctatus"
"Gliqud","Glischrochilus quadriguttatus"
"Gloaly","Globularia alypum"
"Glocom","Glossiphonia complanata"
"Gloema","Globicornis emarginata"
"Glonud","Globularia nudicaulis"
"Gloruf","Glossotrophia rufomixtaria"
"Glossi","Glossiphonidae"
"Glovul","Globularia vulgaris"
"Glydec","Glyceria declinata"
"Glyflu","Glyceria fluitans"
"Glygla","Glycyrrhiza glabra"
"Glyleu","Glyptoteles leucacrinella"
"Glynot","Glyceria notata"
"Gnamat","Gnathotrichus materiarius"
"Gnanan","Gnathoncus nannetensis"
"Gnaocc","Gnaphosa occidentalis"
"Gnarot","Gnathoncus rotundatus"
"Gnomuc","Gnophos mucidarius"
"Gnonob","Gnorimus nobilis"
"Gnoobs","Gnophos obscuratus"
"Gnooct","Gnorimus octopunctatus"
"Gnopre","Gnophos predotae"
"Gnovar","Gnorimus variabilis"
"Gobloz","Gobio lozanoi"
"Gomneg","Gompelia neglecta"
"Gompul","Gomphus pulchellus"
"Gomsim","Gomphus simillimus"
"Goncle","Gonepteryx cleopatra"
"Goneri","Gongylanthus ericetorum"
"Gonlup","Gonodera luperus"
"Gonoli","Gonioctena olivacea"
"Gonrha","Gonepteryx rhamni"
"Gonvar","Gonioctena variabilis"
"Graabd","Grammoptera abdominalis"
"Graatr","Grammoptera atra"
"Grafra","Graptodytes fractus"
"Gramin","Gracilia minuta"
"Grarel","Gracula religiosa"
"Graruf","Grammoptera ruficornis"
"Graust","Grammoptera ustulata"
"Griano","Grimmia anodon"
"Gricae","Grimmia caespiticia"
"Gricri","Grimmia crinita"
"Gridec","Grimmia decipiens"
"Grihar","Grimmia hartmanii"
"Grilae","Grimmia laevigata"
"Grimon","Grimmia montana"
"Griorb","Grimmia orbicularis"
"Gripul","Grimmia pulvinata"
"Griram","Grimmia ramondii"
"Gritri","Grimmia trichophylla"
"Groden","Groenlandia densa"
"Grugru","Grus grus"
"Grycam","Gryllus campestris"
"Grygry","Gryllotalpa gryllotalpa"
"Grypla","Grynobius planus"
"Gymcal","Gymnostomum calcareum"
"Gymcon","Gymnadenia conopsea"
"Gymden","Gymnadenia densiflora"
"Gymdry","Gymnocarpium dryopteris"
"Gymruf","Gymnoscelis rufifasciata"
"Gymvit","Gymnetron vittipenne"
"Gypbar","Gypaetus barbatus"
"Gypful","Gyps fulvus"
"Gypstr","Gypsophila struthium subsp. hispanica"
"Gyrdis","Gyrinus distinctus"
"Gyrfra","Gyrohypnus fracticornis"
"Habper","Habrodon perpusillus"
"Habpiy","Habrosyne piyritoides"
"Habrop","Habrophlebia"
"Hadalb","Hadena albimacula"
"Hadcom","Hadena compta"
"Hadcon","Hadena consparcatoides"
"Hadfil","Hadena filograna"
"Hadlus","Hadrocarabus lusitanicus spp. aragonicus"
"Hadple","Hada plebeja"
"Haeotr","Haematopus ostralegus"
"Halalb","Haliaeetus albicilla"
"Halbin","Hallomenus binotatus"
