"Código","Nombre oficial","Autor","Definición oficial"
"517530","Plantagini discoloris-Thymion mastigophori","A. Molina & Izco 1989","Tomillares"
"517531","Veronico javalambrensis-Thymetum mastigophori","Izco, A. Molina & Fernández- González 1983 em. A. Molina & Izco 1989","Tomillares crioturbados de Thymus mastigophorus castellano-durienses y castellano-cantábricos"
"521210","Potentillo montanae-Brachypodion rupestris","Br.-Bl. 1967 corr. Br.-Bl. 1967 corr. Rivas-Martínez, T.E. Díaz, Fernández González, Izco, Loidi, Lousã & Penas 2002","Pastizales mesofíticos basófilos orocántabro-atlánticos y pirenaicos"
"521211","Alchemillo flabellatae-Festucetum nigrescentis","Vigo 1982","Pastizales basófilos pirenaicos orientales"
"521212","Astragalo danici-Agrostietum tenuis","Rivas Goday & Borja 1961","Pastizales mesofíticos descarbonatados maestracenses"
"521213","Bromo erecti-Caricetum brevicollis","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984","Lastonares orocantábricos de Brachypodium rupestre"
"521214","Bromo erecti-Cirsietum tuberosi","O. Bolòs 1967","Pastizales mesofíticos basófilos tarraconenses"
"521215","Euphrasio-Plantaginetum mediae","O. Bolòs 1954","Pastizales basófilos latepirenaicos"
"521216","Phyteumo orbicularis-Festucetum nigrescentis","Carreras, Carrillo, Masalles, Ninot & Vigo 1993","Pastizales mesofíticos descarbonatados pirenaicos orientales"
"521217","Plantagini mediae-Seslerietum caeruleae","Vigo (1979) 1982","Pastizales xerófilos y basófilos de Sesleria caerulea pirenaicos orientales"
"521218","Teucrio pyrenaici-Festucetum spadiceae","Carreras & Vigo 1988","Céspedes de Festuca spadicea pirenaico orientales"
"521220","Potentillo-Brachypodienion pinnati","","Pastizales mesofíticos basófilos orocántabro-atlánticos y pirenaicos"
"521221","Aveno cantabricae-Seslerietum hispanicae","Br.-Bl. 1967","Lastonares basófilos cántabro-euskaldunes de Helictotrichon cantabricum"
"521222","Calamintho acini-Seselietum montani","Br.-Bl. 1967","Lastonares de Brachypodium rupestre navarro-alaveses"
"521223","Carici ornithopodae-Teucrietum pyrenaici","Loidi 1983","Pastizales basófilos crioturbados supratemplados cántabro-euskaldunes"
"521224","Erodio castellani-Festucetum microphyllae","G. Navarro (1986) ined.","Pastizales descarbonatados urbionenses"
"521225","Helianthemo cantabrici-Brometum erecti","J. Guitián, Izco & Amigo 1989","Lastonares de Brachypodium rupestre orocantábricos occidentales"
"521226","Pulsatillo hispanicae-Chamaespartietum sagittalis","Mayor, Andrés & Martínez 1970","Pastizales acidófilos ubiñenses"
"521227","Brachypodio rupestris-Seselietum cantabrici","Br.-Bl. 1967 corr. Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984","Lastonares de Brachypodium rupestre cántabro-atlánticos"
"52131B","Helianthemo tomentosi-Festucetum ovinae","O. Bolòs & Masalles in O. Bolòs 1983","Pastizales mesofíticos pirenaicos orientales"
"521310","Xerobromenion","","Pastizales y prados meso-xerofíticos crioturbados pirenaicos y oroibéricos"
"521312","Bromo erecti-Medicaginetum suffruticosae","P. Montserrat 1960","Pastizales basófilos pirenaicos de colladas"
"521313","Cirsio microcephalae-Onobrychidetum hispanicae","Rivas Goday & Borja 1961 corr. Rivas-Martínez, Fernández-González & Loidi 1999","Pastizales basófilos mesoxerofíticos oroibéricos"
"521315","Koelerio gracilis-Avenuletum ibericae","Br.-Bl. in Br.-Bl. & Moor 1938 corr. O. Bolòs in Carreras, Carrillo, X. Font, Ninot & Vigo 1983","Pastizales neutro-acidófilos pirenaicos orientales"
"521317","Lino viscosi-Brometum erecti","Vigo 1979","Pastizales mesoxerófilos basófilos submediterráneos pirenaicos orientales"
"521318","Pulsatillo vulgaris-Ononidetum cenisiae","Mayor 1968","Pastizales basófilos supramediterráneos celtibérico-alcarreños"
"521319","Teucrio pyrenaici-Brometum erecti","Vigo 1979","Pastizales mesoxerofíticos pirenaicos"
"522010","Omphalodion commutatae","Rivas-Martínez, Izco & Costa ex Izco 1976 corr. Pérez-Raya, Molero & J. López 1991","Pastizales anuales dolomitícolas y serpentinícolas"
"522011","Arenario capillipedis-Iberidetum fontqueri","Rivas-Martínez, Izco & Costa ex Izco 1976","Pastizales anuales serpentinícolas bermejenses"
"522012","Arenario modestae-Linarietum angustealatae","Pérez-Raya in Pérez-Raya, Molero & J. López 1991","Pastizales anuales dolomitícolas alfacarino-granatenses"
"522013","Arenario arundanae-Linarietum salzmannii","Asensi, Díez-Garretas & Esteve 1979 corr. Rivas-Martínez, Asensi, Molero & F. Valle 1991","Pastizales anuales rondeño-almijarenses de rocas ultrabásicas"
"522014","Jasiono penicillatae-Linarietum saturejoidis","Rivas-Martínez, Izco & Costa ex Izco 1976","Pastizales anuales dolomitícolas rondeños y malacitano-almijarenses"
"522015","Sileno lasiostylae-Arenarietum tenuis","Gómez Mercado 1989","Pastizal terofítico de arenas dolomíticas subbéticas"
"522016","Violo demetriae-Jonopsidietum prolongoi","Asensi, Díez-Garretas & Esteve 1979","Pastizales anuales dolomitícolas anticarienses y rondenses"
"522020","Sedo-Ctenopsion gypsophilae","Rivas Goday & Rivas-Martínez ex Izco 1974","Pastizales anuales gipsícolas"
"522021","Chaenorhino reyesii-Campanuletum fastigiatae","Rivas-Martínez & Izco in Izco 1974 corr. Alcaraz, Ríos, De la Torre, Delgado & Inocencio 1998","Pastizales anuales gipsícolas castellano-aragoneses"
"522022","Campanulo fastigiatae-Chaenorhinetum rupestris","Alcaraz, Ríos, De la Torre, Delgado & Inocencio 1998","Pastizales anuales gipsícolas murciano-almerienses"
"522023","Ctenopsio gypsophilae-Linarietum amethysteae","Izco, A. Molina & Fernández-González 1986","Pastizales anuales gipsícolas manchegos de Ctenopsis gypsophila"
"522030","Stipion retortae","Br.-Bl. & O. Bolòs 1954 em. Izco 1975","Pastizales anuales murciano-almerienses semiáridos"
"522031","Eryngio ilicifolii-Plantaginetum ovatae","Esteve 1973","Pastizales anuales murciano-almerienses de Plantago ovata"
"522032","Filago ramosissimae-Stipetum capensis","Pérez Raya 1987","Pastizales anuales malacitano-almijarense y alpujarreño-gadorense semiáridos"
"522033","Plantagini amplexicaulis-Stipetum retortae","O. Bolòs 1956","Pastizales anuales murciano-almerienses de Stipa capensis"
"522034","Plantagini ovatae-Chaenorhinetum grandiflori","Lázaro & Asensi 1986","Pastizales anuales gipsícolas almerienses"
"522035","Scillo-Erodietum sanguis-christi","Br.-Bl. & al. 1935","Pastizales basófilos litorales catalanes"
"52204A","Erodio-Arenarietum conimbricensis","A. & O. Bolòs 1950","Pastizales anuales calcífilos catalanes de Arenaria conimbricensis"
"52204B","Saxifrago tridactylitae-Hornungietum petraeae","Izco 1974","Pastizales anuales basófilos iberolevantinos"
"52204C","Iflogo spicatae-Silenetum adscendentis","Mota, Cabello, Gómez-Mercado & Peñas 1993","Pastizales anuales basófilos almerienses de arenas"
"52204D","Minuartio hybridae-Saxifragetum tridactylitae","T.E. Díaz & Penas 1984","Pastizales anuales basófilos orocántabro-atlánticos"
"52204E","Saxifrago tridactylitae-Hornungietum petraeae","Izco 1974","Pastizales anuales basófilos iberolevantinos"
"52204F","Velezio rigidae-Asteriscetum aquatici","Rivas Goday 1964","Pastizales anuales basófilos luso-extremadurenses"
"52204G","Vicio pubescentis-Moehringietum pentandrae","O. Bolòs & J.M. Montserrat in O. Bolòs 1981","Comunidades de lindero de bosque de Vicia pubescens y Moehringia pentandrae"
"52204H","Vulpio unilateris-Minuartietum campestris","Mayoral 1988","Pastizales anuales basófilos pirenaicos orientales"
"52204I","Comunidad de Limonium echioides","","Pastizales anuales de Limonium echioides"
"522040","Trachynion distachyae","Rivas-Martínez 1978","Pastizales anuales calcícolas"
"522041","Airo cupanianae-Chaenorhinetum formenterae","O. Bolòs & Molinier 1984","Pastizales anuales basófilos interiores pitiúsicos"
"522042","Ammochloo palestinae-Linarietum nigricantis","Mota, Cabello, Gómez-Mercado & Peñas 1993","Pastizales anuales basófilos almerienses de Linaria nigricans"
"522043","Brachyapio dichotomi-Callipeltetum cucullaris","Izco, A. Molina & Fernández-González 1986","Pastizales anuales basófilos de Callipeltis cucullaris"
"522044","Bupleuro baldensis-Arenarietum ciliaris","Izco, A. Molina & Fernández-González 1986","Pastizales anuales calcífilos supramediterráneos de Arenaria ciliaris"
"522045","Bupleuro semicompositi-Filaginetum mareoticae","Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991","Pastizales terofíticos salinos murciano-almerienses"
"522046","Campanulo erini-Bellidetum microcephalae","Alcaraz, P. Sánchez & De la Torre 1987","Pastizales anuales basófilos murciano-almerienses de Bellis microcephala"
"522047","Cardamino hirsutae-Erophiletum praecocis","O. Bolòs 1981","Comunidades de lindero de bosque de mastuerzo amargo y verna"
"522048","Clypeolo jonthlaspi-Psiluretum incurvi","C. Casas, Guàrdia & Ninot 1989","Pastizales basófilos valenciano-tarraconenses y bardeno-monegrinos"
"522049","Echinario capitatae-Wangenheimietum limae","A. Velasco 1983","Pastizales basófilos toledanos"
"522050","Trifolio subterranei-Periballion","Rivas Goday 1964","Majadales silicícolas"
"522052","Festuco amplae-Poetum bulbosae","Rivas-Martínez & Fernández-González in Rivas-Martínez, Fernández-González & Sánchez-Mata 1986","Majadales silicícolas supramediterráneos"
"522053","Poo bulbosae-Onobrychidetum eriophorae","Rivas Goday, Ladero & C. Rivas in Rivas Goday & Ladero 1970","Majadales luso-extremadurenses sobre pizarras"
"522054","Trifolio ornithopodioidis-Poetum bulbosae","Ladero, C. Valle, Amor, M.T. Santos & Gutiérrez 1997","Majadales subhalófilos"
"522055","Poo bulbosae-Trifolietum subterranei","Rivas Goday 1964","Majadales silicícolas mesomediterráneos"
"522056","Comunidad diánica de Trifolium subterraneum","","Majadales diánicos de Trifolium subterraneum"
"522060","Poo bulbosae-Astragalion sesamei","Rivas Goday & Ladero 1970","Majadales basófilos"
"522061","Trifolio subterranei-Plantaginetum serrariae","Martín & Galán in Galán, Morales & Vicente 2000","Majadales verticícolas de Plantago serraria"
"522062","Poo bulbosae-Astragaletum sesamei","Rivas Goday & Ladero 1970","Majadal basófilo de astrágalos"
"52207A","Stipo offneri-Helictotrichetum filifolii","G. López 1976","Espartales manchegos orientales"
"52207B","Teucrio pseudochamaepityos-Brachypodietum ramosi","O. Bolòs 1957","Lastonares termófilos valenciano-murcianos"
"52207C","Trifolio-Brachypodietum ramosi","A. & O. Bolòs & Br.-Bl. in O. Bolòs 1956","Lastonares de Brachypodium retusum oligótrofos vallesano-empordaneses"
"522070","Thero-Brachypodion ramosi","Br.-Bl. 1925","Lastonares de Brachypodium retusum"
"522071","Brachypodio boissieri-Trisetetum velutini","Martínez-Parras, Peinado & Alcaraz 1987","Lastonares de Brachypodium boissieri"
"522072","Brachypodio-Stipetum ibericae","O. Bolòs 1954 corr. 1996","Lastonares de Brachypodium retusum y Stipa iberica vallesano-empordaneses"
"522073","Festuco hystricis-Avenetum filifoliae","O. Bolòs 1967","Lastonares supramediterráneos diánico-subbéticos de Helictrotrichon filifolium"
"522074","Helictotricho sarracenorum-Brachypodietum boissieri","Pérez-Raya & Molero 1988","Lastonares"
"522075","Hypochoerido achyrophorae-Brachypodietum ramosi","O. Bolòs & Molinier 1958","Lastonares baleáricos de Brachypodium retusum"
"522076","Phlomido lychnitidis-Brachypodietum ramosi","Br.-Bl. 1925","Lastonares vallesano-empordaneses de Brachypodium retusum"
"522077","Pilosello capitatae-Brachypodietum retusi","Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991","Lastonares de Brachypodium retusum supramediterráneos béticos y murciano-almerienses"
"522078","Poo bulbosae-Phlomidetum italicae","O. Bolòs & Molinier 1958","Lastonares de Poa bulbosa y Phlomis italica"
"522079","Ruto angustifoliae-Brachypodietum ramosi","Br.-Bl. & O. Bolòs 1958","Lastonares de Brachypodium retusum castellano-aragoneses"
"522080","Sedion micrantho-sediformis","Rivas-Martínez, P. Sánchez & Alcaraz ex P. Sánchez & Alcaraz 1993","Céspedes crasifolios rupestres calcáreos mediterráneas de Sedum"
"522081","Sedetum gypsicolae","Alcaraz ined.","Céspedes crasifolios rupestres gipsófilos termo-mesomediterráneos mediterráneo-iberolevantinos"
"523010","Violion caninae","Schwickerath 1944","Prados atlánticos acidófilos mesohigrófilos supratemplados"
"523011","Jasiono laevis-Danthonietum decumbentis","Loidi 1983","Prado supratemplado cántabro-euskaldun"
"523012","Nardo strictae-Caricetum binervis","Br.-Bl. & Tüxen 1952","Cervunal norastúrico mesotemplado superior"
"523013","Serratulo seoanei-Nardetum strictae","Tüxen in Tüxen & Oberdorfer 1958","Cervunales cantábrico-occidentales supratemplados"
"531010","Quercion broteroi","Br.-Bl., P. Silva & Rozeira 1956 em. Rivas-Martínez 1975 corr. Ladero 1974","Comunidades de quejigo portugués mediterráneas occidentales (dehesas de Quercus rotundifolia y/o Q. suber)"
"531012","Berberido hispanicae-Quercetum rotundifoliae","Rivas-Martínez 1987","Encinares basófilos béticos con arces y quejigos (dehesas de Quercus rotundifolia y/o Q. suber)"
"531013","Genisto hystricis-Quercetum rotundifoliae","P. Silva 1970","Carrascales acidófilos carpetano-leoneses (dehesas de Quercus rotundifolia y/o Q. suber)"
"531014","Junipero oxycedri-Quercetum rotundifoliae","Rivas-Martínez 1965","Encinares acidófilos mediterráneos con enebros (dehesas de Quercus rotundifolia y/o Q. suber)"
"531015","Junipero lagunae-Quercetum suberis","Rivas-Martínez, Aguiar, Cantó & Ladero in Rivas-Martínez, T.E. Díaz, Fernández-González, Izco, Loidi, Lousã & Penas 2002 ","Alcornocales acidófilos lusitano-durienses con enebros de Laguna (dehesas de Quercus rotundifolia y/o Q. suber)"
"531016","Paeonio coriaceae-Quercetum rotundifoliae","Rivas-Martínez 1965","Encinares basófilos béticos con peonías (dehesas de Quercus rotundifolia y/o Q. suber)"
"531018","Pyro bourgaeanae-Quercetum rotundifoliae","Rivas-Martínez 1987","Encinar acidófilo luso-extremadurense con peral silvestre (dehesas de Quercus rotundifolia y/o Q. suber)"
"531019","Poterio agrimonioidis-Quercetum suberis","Rivas Goday in Rivas Goday, Borja, Esteve, Galiano, Rigual & Rivas-Martínez 1960","Alcornocales acidófilos ibérico-suroccidentales (dehesas de Quercus rotundifolia y/o Q. suber)"
"531020","Querco rotundifoliae-Oleion sylvestris","Barbéro, Quézel & Rivas-Martínez in Rivas-Martínez, Costa & Izco 1986","Dehesas de Quercus rotundifolia y/o Q. Suber"
"531021","Myrto communis-Quercetum rotundifoliae","Rivas Goday in Rivas Goday, Borja, Esteve, Galiano, Rigual & Rivas-Martínez 1960","Encinares acidófilos mariánico-monchiquenses, béticos y rifeños (dehesas de Quercus rotundifolia y/o Q. suber)"
"531022","Myrto communis-Quercetum suberis","Barbero, Benavid, Quezel & Rivas-Martínez 1981","Alcornocales acidófilos béticos, gaditano-onubo-algarvienses, luso-extremadurenses y tingitanos (dehesas de Quercus rotundifolia y/o Q. suber)"
"531023","Oleo sylvestris-Quercetum suberis","Rivas Goday, Galiano & Rivas-Martínez ex Rivas-Martínez 1987","Alcornocales acidófilos gaditano-onubenses, tagano sadenses y divisorio-portugueses (dehesas de Quercus rotundifolia y/o Q. suber)"
"531024","Rhamno oleoidis-Quercetum rotundifoliae","Rivas-Martínez in Rivas-Martínez, T.E. Díaz, Fernández-González, Izco, Loidi, Lousã & Penas 2002","Encinares basófilos béticos andaluces-litorales y portugueses (dehesas de Quercus rotundifolia y/o Q. suber)"
"531025","Teucrio baetici-Quercetum suberis","Rivas-Martínez ex Díez-Garretas, Cuenca & Asensi 1988","Alcornocales acidófilos aljíbicos y béticos (dehesas de Quercus rotundifolia y/o Q. suber)"
"541010","Molinion caeruleae","Koch 1926","Prados higrófilos basófilos"
"541011","Epipactido palustris-Molinietum caeruleae","J.M. Montserrat, I. Soriano & Vigo in Carreras & Vigo 1987","Prado higrófilo basófilo pirenaico"
"541013","Epipactido palustris-Molinietum caeruleae","J.M. Montserrat, I. Soriano & Vigo in Carreras & Vigo 1987","Prado higrófilo basófilo pirenaico"
"54201A","Galio palustris-Juncetum maritimi","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980","Juncal marino no halófilo"
"54201B","Galio viridiflori-Schoenetum nigricantis","Rivas Goday & Esteve 1972","Juncal churrero serpentinícola"
"54201C","Geo rivales-Cirsietum rosulati","Ríos & Alcaraz in Rivas-Martínez, T.E. Díaz, Fernández González, Izco, Loidi, Lousã & Penas 2002","Cardal higrófilo subbético"
"54201D","Holoschoeno globiferi-Juncetum acuti","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993","Juncal canario occidental"
"54201E","Holoschoeno-Juncetum acuti","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980","Juncal agudo costero lusitano-andaluz"
"54201F","Hypericetum cambessedesii","O. Bolòs & Molinier 1958","Juncal churrero mallorquín"
"54201G","Hyperico caprifolii-Schoenetum nigricantis","Gómez-Mercado & F. Valle 1992","Herbazal de taludes rezumantes subbético"
"54201H","Inulo viscosae-Schoenetum nigricantis","Br.-Bl. 1924","Comunidad higrófila basófila ibérica oriental"
"54201I","Junco rugosi-Ericetum andevalensis","Cabezudo, Nieto & A.V. Pérez 1989","Brezal-juncal metalícola mariánico"
"54201J","Lysimachio ephemeri-Holoschoenetum","Rivas Goday & Borja 1961","Comunidad higrófila basófila oroibérica"
"54201K","Mentho longifoliae-Caricetum loscosii","O. Bolòs (1957) 1967","Juncal churrero valenciano-tarraconense"
"54201L","Molinio arundinaceae-Ericetum erigenae","Costa, Peris & Figuerola 1983","Herbazal higrófilo con brezos setabense"
"54201M","Molinio arundinaceae-Schoenetum nigricantis","Rivas Goday 1945","Comunidad herbácea higrófila cantábrica"
"54201N","Peucedano hispanici-Molinietum arundinaceae","Gómez-Mercado & F. Valle 1992","Herbazales de borde de río subbéticos"
"54201O","Peucedano hispanici-Sonchetum aquatilis","O. Bolòs 1957","Comunidad herbácea higrófila levantina"
"54201P","Trifolio resupinati-Holoschoenetum","Rivas Goday 1964","Juncal churrero ibérico occidental"
"542010","Molinio-Holoschoenion vulgaris","Br.-Bl. ex Tchou 1948","Comunidades herbáceas higrófilas mediterráneas"
"542011","Artemisio gallicae-Juncetum acuti","Boira 1992","Juncal marítimo con junco redondo"
"542012","Carici arenariae-Juncetum acuti","Herrera 1995","Juncal subsalino sabulícola cántabro-euskaldún"
"542013","Centaureo vinyalsii-Succisetum pratensis","O. Bolòs 1954","Herbazal higrófilo de La Garrotxa"
"542014","Lysimachio ephemeri-Holoschoenetum","Rivas Goday & Borja 1961","Herbazales basófilos maestracenses y castellano-cantábricos"
"542015","Holoschoenetum vulgaris","Br.-Bl. ex Tchou 1948","Juncal churrero ibérico oriental"
"542016","Cirsio monspesullani-Menthetum longifoliae","O. Bolòs 1956","Pastizal basófilo higrofítico pirenaico oriental"
"542017","Cirsio tuberosi-Schoenetum nigricantis","G. Navarro (1986) ined.","Juncal con Cirsium tuberosum"
"542018","Cypero badii-Scirpetum holoschoeni","Herrera 1995","Juncal churrero dunar santanderino"
"542019","Galio constricti-Juncetum subnodulosi","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952 nom. inv.","Juncal costero languedocino-catalán"
"543110","Convolvulion sepium","Tüxen ex Oberdorfer 1957","Comunidades riparias nitrófilas de Calystegia sepium"
"543111","Artemisio vulgaris-Epilobietum hirsuti","Vigo 1979","Herbazales nitrófilos higrófitos con laureles de San Antonio"
"543112","Arundini donacis-Convolvuletum sepium","Tüxen & Oberdorfer ex O. Bolòs 1962","Cañaverales con correhuelas"
"543113","Dorycnio recti-Epilobietum hirsuti","M.B. Crespo 1989","Herbazales megafórbicos con laureles de San Antonio"
"543114","Oenothero suaveolentis-Asteretum lanceolati","O. Bolòs & Masalles 1983","Herbazales nitrófilos pirenaico-orientales y vallesano-empordaneses"
"543115","Picrido hieracioidis-Eupatorietum cannabini","Loidi & C. Navarro 1988","Herbazales nitrófilos cántabro-euskalunes con eupatorios"
"543116","Comunidad de Epilobium hirsutum","","Herbazales nitrófilos húmedos de Epilobium hirsutum"
"543130","Galio-Alliarion petiolatae","Oberdorfer & Lohmeyer in Oberdorfer, Görs, Korneck, Lohmeyer, Müller, Philippi & Seibert 1967","Herbazales subnitrófilos noroccidental ibéricos"
"543131","Alliario petiolatae-Chaerophylletum temulenti","Lohmeyer 1949","Herbazales subnitrófilos con hierbas de ajo y perejiles de asno"
"543132","Dipsacetum pilosi","Tüxen in Oberdorfer 1957","Herbazales escionitrófilos húmedos de Dipsacus pilosus"
"543133","Geranio robertiani-Caryolophetum sempervirentis","Izco, J. Guitián & Amigo 1986","Herbazales escionitrófilos carpetano-leoneses y orocantábricos con meleras"
"543134","Lapsano-Sisonetum amomi","O. Bolòs & Masalles 1983","Herbazales subnitrófilos de Sison amomun"
"543135","Myrrhoidi nodosae-Alliarietum petiolatae","Rivas-Martínez & Mayor ex Fuente 1986","Herbazales escionitrófilos oroibérico-sorianos con hierbas de ajo"
"543137","Urtico membranaceae-Smyrnietum olusatri","A. & O. Bolòs in O. Bolòs & Molinier 1958","Herbazales nitrófilos de ortiga larga y apio equino"
"54321B","Streptopo amplexifolii-Athyrietum distentifolii","Rivas-Martínez & Sáenz 1986","Herbazales nitrófilos con Athyrium distentifolium"
"54321D","Veratro albi-Salicetum basalticae","O. Bolòs 1984 corr. Rivas-Martínez, Fernández-González, Loidi, Lousã, Penas & Izco in Rivas-Martínez, T.E. Díaz, Fernández-González, Izco, Loidi, Lousã & Penas 2002","Saucedas pirenaicas"
"543210","Adenostylion alliariae","Br.-Bl. 1926","Herbazales nitrófilos pirenaicos, orocantábro-atlánticos y carpetano-leoneses"
"543211","Aconitetum neapolitano-castellani","Rivas-Martínez & Sánchez-Mata in Sánchez-Mata 1989","Herbazales nitrófilos de acónito castellano"
"543212","Adenostylo pyrenaicae-Veratretum albi","Rivas-Martínez in Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984","Herbazales nitrófilos de calabaceras y verdegambres"
"543213","Allio victorialis-Adenostyletum pyrenaicae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984","Herbazales nitrófilos de calabaceras y ajos coronados"
"543214","Chaerophyllo hirsuti-Valerianetum pyrenaicae","Vigo & Carreras in Carreras & Vigo 1984","Herbazales nitrófilos de cerifolios y valerianas"
"543216","Doronico pardalianches-Scrophularietum alpestris","Rivas-Martínez ined.","Herbazales nitrófilos de Doronicum pardalianches y Scrophularia alpestris"
"543218","Peucedano ostruthii-Luzuletum desvauxii","Br.-Bl. 1948","Herbazales megafórbicos de Peucedanum ostruthium"
"543220","Calamagrostion arundinaceae"," (Luquet 1926) Jenik 1961","Herbazales nitrófilos pirenaicos con Calamagrostis arundinacea"
"543221","Lilio pyrenaici-Molopospermetum peloponesiaci","Rivas-Martínez, Costa & P. Soriano in Rivas-Martínez, T.E. Díaz, Fernández González, Izco, Loidi, Lousã & Penas 2002","Herbazales nitrófilos con azucenas del Pirineo"
"543230","Cirsion flavispinae","Quézel 1953","Herbazales nitrófilos nevadenses"
"543231","Aconito nevadensis-Senecionetum elodis","Quézel 1953","Herbazales nitrófilos con Aconitum nevadense"
"543240","Rumicion pseudalpini","Rübel ex Scharfetter 1938 corr. Loidi & Biurrun 1996","Herbazales nitrófilos de majadas, corrales y reposaderos de ganado"
"543242","Rumicetum alpini","Beger 1922","Herbazales nitrófilos de ruibarbos bastardos"
"55101A","Trifolio dubii-Malvetum moschatae","J. Guitián ined.","Prado de siega caureliano"
"551010","Arrhenatherion","Koch 1926","Prados mesófilos de siega"
"551011","Agrostio castellanae-Arrhenatheretum bulbosi","Teles 1970","Prado de siega noroccidental oligótrofo"
"551012","Galio veri-Arrhenatheretum bulbosi ","(Rivas Goday & Borja 1961) Rivas-Martínez in Rivas-Martínez, T.E. Díaz, Fernández González, Izco, Loidi, Lousã & Penas 2002","Prado de siega maestracense"
"551013","Arrhenatheretum elatioris","Br.-Bl. 1915","Prado de siega selvatano"
"551014","Rhinantho mediterranei-Trisetetum flavescentis","Vigo 1984","Prado de siega supratemplado pirenaico"
"551015","Malvo moschatae-Arrhenatheretum bulbosi","Tüxen & Oberdorfer 1958 corr. T.E. Díaz & F. Prieto 1994","Prado de siega cantábrico"
"551017","Ophioglosso-Arrhenatheretum","P. Montserrat 1957","Prado de siega seco del Urgel"
"551018","Rhinantho mediterranei-Trisetetum flavescentis","Vigo 1984","Prado de siega supratemplado pirenaico"
"551019","Tragopogono-Lolietum multiflori","P. Montserrat 1957","Prado de siega húmedo del Urgel"
"615010","Rhynchosporion albae","Koch 1926","Turberas pioneras oligosdistróficas (Comunidades primocolonizadoras de suelos turbosos oligótrofos)"
"615011","Drosero intermediae-Rhynchosporetum albae","Allorge ex F.Prieto, M.C. Fernández & Collado 1987","Pastizales lacustres arenos mesotemplados galaico asturianos"
"615012","Eleocharito multicaulis-Rhynchosporetum albae","C. Valle & F. Navarro ex Rivas-Martínez in Rivas-Martínez, T.E. Díaz, Fernández González, Izco, Loidi, Lousã & Penas 2002","Pastizales turbosos muscinales oligodistróficos supramediterráneos carpetano-leoneses"
"615013","Sphagnetum pilaesi","Rodríguez Oubiña ined.","Turberas gallegas de Sphagnum pylaesii"
"615014","Comunidad de Lycopodiella inundata","","Turberas de Lycopodiella inundata"
"621010","Magnocaricion elatae","Koch 1926","Marciegales higroturbosos (comunidades de Cladium mariscus)"
"621011","Cladietum marisci","Zobrist 1935","Marciegales de juncos espigados"
"621012","Cladio marisci-Caricetum hispidae","O. Bolòs 1967","Marciegales de lastoncillos"
"621013","Hydrocotylo-Mariscetum serrati","Rivas Goday & Mansanet 1958","Marciegales de sombrerillos de agua"
"621014","Soncho maritimi-Cladietum marisci","(Br.-Bl. & O. Bolòs 1958) Cirujano 1980","Marciegales de cerrajones marinos"
"622010","Cratoneurion commutati","Koch 1928","Céspedes fontinales brio-fanerogámicas de aguas frías calcáreas"
"622011","Cochleario pyrenaicae-Cratoneuretum commutati","Oberdorfer ex Müller 1961","Céspedes fontinales de briófitos y Cochlearia pyrenaica en aguas frías de aguas calcáreas"
"622012","Cratoneuro filicini-Anagallidetum tenellae","Ríos & Alcaraz in Rivas-Martínez, T.E. Díaz, Fernández González, Izco, Loidi, Lousa & Penas 2002","Céspedes fontinales de aguas frías con Cratoneuron filicinum y Anagallis tenella"
"622013","Cratoneuretum falcati","Gams 1927","Céspedes fontinales de aguas frías y calcáreas con Cratoneuron commutatum var. falcatum"
"622015","Eucladio-Barbuletum tophaceae","Herbrab 1973","Céspedes briofíticos fontinales"
"622016","Comunidad de Anagallis tenella","","Céspedes fontinales de Anagallis tenella"
"622020","Adiantion capilli-veneris","Br.-Bl. ex Horvatic 1934","Vegetación briocormofítica de paredes calcáreas sombrías siempre rezumantes y con tobas o travertinos mediterráneo-ibéricas, canarias y cántabro-atlánticas"
"622021","Eucladio-Adiantetum capilli-veneris","Br.-Bl. ex Horvatic 1934","Vegetación briocormofítica de paredones calcáreos sombríos siempre rezumantes y con tobas, termo-mesomediterráneas y templadas ibérico septentrionales y canarias"
"622022","Eucladio-Pinguiculetum mundi","T.E. Díaz, Guerra & Nieto 1982 corr. Asensi & Díez Garretas 2002","Vegetación briocormofítica con Pinguicula, de paredones calcáreos siempre rezumantes meso-supramediterráneos béticos"
"622023","Eucladio-Adiantetum capilli-veneris","Br.-Bl. ex Horvatic 1934","Vegetación briocormofítica de paredones calcáreos sombríos siempre rezumantes y con tobas, termo-mesomediterráneas y templadas ibérico septentrionales y canarias"
